year,artefacts,,,
2000,56,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=,&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2000&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2001,72,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2001&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2002,83,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2002&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2003,86,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2003&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2004,103,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2004&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2005,123,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2005&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2006,149,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2006&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2007,239,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2007&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2008,392,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2008&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2009,379,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2009&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2010,496,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2010&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2011,538,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2011&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2012,693,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2012&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2013,933,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2013&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2014,987,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2014&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2015,974,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2015&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2016,1118,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2016&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search
2017,995,,,http://openaccess.city.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&date=2017&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&publication_merge=ALL&publication=&datestamp=&documents.date_embargo=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search